# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileChannelInterruptsRetryer.totalRetriedAttempts,1757267086833000000,1757267097447000000,0
DirectByteBufferAllocator.misses,1757267086833000000,1757267097447000000,186
StorageLockContext.competingThreads.avg,1757267086833000000,1757267097447000000,0.0
FilePageCacheLockFree.totalPagesWritten,1757267086833000000,1757267097447000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1757267086833000000,1757267097447000000,0
Indexing.totalTimeIndexersSleptMs,1757267086833000000,1757267097447000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1757267086833000000,1757267097447000000,0
Indexing.cache.totalCacheMisses,1757267086833000000,1757267097447000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1757267086833000000,1757267097447000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1757267086833000000,1757267097447000000,0
Indexing.cache.totalCacheAccesses,1757267086833000000,1757267097447000000,0
Indexing.writesQueuedMin,1757267086833000000,1757267097447000000,9223372036854775807
Indexing.writesQueuedMax,1757267086833000000,1757267097447000000,0
Indexing.cache.totalCacheEvicted,1757267086833000000,1757267097447000000,0
cacheStateStorage.set.duration,1757267086833000000,1757267097447000000,11
cacheStateStorage.get.duration,1757267086833000000,1757267097447000000,0
cacheStateStorage.get.counter,1757267086833000000,1757267097447000000,10
cacheStateStorage.set.counter,1757267086833000000,1757267097447000000,7
workspaceModel.mutableEntityStorage.instances.count,1757267086833000000,1757267097447000000,3
workspaceModel.global.apply.state.to.project.ms,1757267086833000000,1757267097447000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1757267086833000000,1757267097447000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1757267086833000000,1757267097447000000,0
jps.save.global.entities.ms,1757267086833000000,1757267097447000000,3
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1757267086833000000,1757267097447000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1757267086833000000,1757267097447000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1757267086833000000,1757267097447000000,0
jps.library.entities.serializer.load.entities.ms,1757267086833000000,1757267097447000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1757267086833000000,1757267097447000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1757267086833000000,1757267097447000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1757267086833000000,1757267097447000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1757267086833000000,1757267097447000000,0
jps.app.storage.content.writer.save.component.ms,1757267086833000000,1757267097447000000,1
jps.global.get.library.by.name.ms,1757267086833000000,1757267097447000000,0
workspaceModel.do.save.caches.ms,1757267086833000000,1757267097447000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1757267086833000000,1757267097447000000,0
jps.global.get.library.ms,1757267086833000000,1757267097447000000,0
workspaceModel.global.updates.ms,1757267086833000000,1757267097447000000,0
jps.app.storage.content.reader.load.component.ms,1757267086833000000,1757267097447000000,1
workspaceModel.mutableEntityStorage.resolve.ms,1757267086833000000,1757267097447000000,0
workspaceModel.save.cache.to.file.ms,1757267086833000000,1757267097447000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1757267086833000000,1757267097447000000,0
jps.global.initialize.library.bridges.after.loading.ms,1757267086833000000,1757267097447000000,1
workspaceModel.load.cache.metadata.from.file.ms,1757267086833000000,1757267097447000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1757267086833000000,1757267097447000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1757267086833000000,1757267097447000000,0
jps.global.handle.before.change.events.ms,1757267086833000000,1757267097447000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1757267086833000000,1757267097447000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1757267086833000000,1757267097447000000,0
workspaceModel.mutableEntityStorage.entities.ms,1757267086833000000,1757267097447000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1757267086833000000,1757267097447000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1757267086833000000,1757267097447000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1757267086833000000,1757267097447000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1757267086833000000,1757267097447000000,0
jps.global.initialize.library.bridges.ms,1757267086833000000,1757267097447000000,0
jps.global.get.libraries.ms,1757267086833000000,1757267097447000000,0
jps.load.initial.state.ms,1757267086833000000,1757267097447000000,17
jps.global.handle.changed.events.ms,1757267086833000000,1757267097447000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1757267086833000000,1757267097447000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1757267086833000000,1757267097447000000,0
workspaceModel.load.cache.from.file.ms,1757267086833000000,1757267097447000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1757267086833000000,1757267097447000000,0
jps.library.entities.serializer.save.entities.ms,1757267086833000000,1757267097447000000,0
workspaceModel.global.updates.count,1757267086833000000,1757267097447000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1757267086833000000,1757267097447000000,0
workspaceModel.sync.entities.ms,1757267086833000000,1757267097447000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1757267086833000000,1757267097447000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1757267086833000000,1757267097447000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1757267086833000000,1757267097447000000,0
